EfficientNet_B4,Précision ,Recall ,F1 Score 
COVID,0.97,0.95,0.96
Lung_Opacity,0.94,0.92,0.93
Normal,0.9,0.92,0.91
Viral_Pneumonia,0.98,1.0,0.99
Précision Globale,0.95,,
